movieId,imdbId,tmdbId,title
1,114709,862.0,Toy Story (1995)
2,113497,8844.0,Jumanji (1995)
3,113228,15602.0,Grumpier Old Men (1995)
4,114885,31357.0,Waiting to Exhale (1995)
5,113041,11862.0,Father of the Bride Part II (1995)
6,113277,949.0,Heat (1995)
7,114319,11860.0,Sabrina (1995)
8,112302,45325.0,Tom and Huck (1995)
9,114576,9091.0,Sudden Death (1995)
10,113189,710.0,GoldenEye (1995)
11,112346,9087.0,"American President, The (1995)"
12,112896,12110.0,Dracula: Dead and Loving It (1995)
13,112453,21032.0,Balto (1995)
14,113987,10858.0,Nixon (1995)
15,112760,1408.0,Cutthroat Island (1995)
16,112641,524.0,Casino (1995)
17,114388,4584.0,Sense and Sensibility (1995)
18,113101,5.0,Four Rooms (1995)
19,112281,9273.0,Ace Ventura: When Nature Calls (1995)
20,113845,11517.0,Money Train (1995)
21,113161,8012.0,Get Shorty (1995)
22,112722,1710.0,Copycat (1995)
23,112401,9691.0,Assassins (1995)
24,114168,12665.0,Powder (1995)
25,113627,451.0,Leaving Las Vegas (1995)
26,114057,16420.0,Othello (1995)
27,114011,9263.0,Now and Then (1995)
28,114117,17015.0,Persuasion (1995)
29,112682,902.0,"City of Lost Children, The (Cité des enfants perdus, La) (1995)"
30,115012,37557.0,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)
31,112792,9909.0,Dangerous Minds (1995)
32,114746,63.0,Twelve Monkeys (a.k.a. 12 Monkeys) (1995)
33,114952,78802.0,Wings of Courage (1995)
34,112431,9598.0,Babe (1995)
35,112637,47018.0,Carrington (1995)
36,112818,687.0,Dead Man Walking (1995)
37,112286,139405.0,Across the Sea of Time (1995)
38,113442,33689.0,It Takes Two (1995)
39,112697,9603.0,Clueless (1995)
40,112749,34615.0,"Cry, the Beloved Country (1995)"
41,114279,31174.0,Richard III (1995)
42,112819,11443.0,Dead Presidents (1995)
43,114272,35196.0,Restoration (1995)
44,113855,9312.0,Mortal Kombat (1995)
45,114681,577.0,To Die For (1995)
46,113347,11861.0,How to Make an American Quilt (1995)
47,114369,807.0,Seven (a.k.a. Se7en) (1995)
48,114148,10530.0,Pocahontas (1995)
49,114916,8391.0,When Night Is Falling (1995)
50,114814,629.0,"Usual Suspects, The (1995)"
51,109950,117164.0,Guardian Angel (1994)
52,113819,11448.0,Mighty Aphrodite (1995)
53,110299,49133.0,Lamerica (1994)
54,112499,26441.0,"Big Green, The (1995)"
55,113158,97406.0,Georgia (1995)
56,113541,124057.0,Kids of the Round Table (1995)
57,113321,9089.0,Home for the Holidays (1995)
58,110877,11010.0,"Postman, The (Postino, Il) (1994)"
59,112714,99040.0,"Confessional, The (Confessionnal, Le) (1995)"
60,113419,11359.0,"Indian in the Cupboard, The (1995)"
61,116260,17182.0,Eye for an Eye (1996)
62,113862,2054.0,Mr. Holland's Opus (1995)
63,116126,10607.0,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)
64,118002,19760.0,Two if by Sea (1996)
65,115683,9536.0,Bio-Dome (1996)
66,116839,11525.0,Lawnmower Man 2: Beyond Cyberspace (1996)
67,114753,40628.0,Two Bits (1995)
68,113149,4482.0,French Twist (Gazon maudit) (1995)
69,113118,10634.0,Friday (1995)
70,116367,755.0,From Dusk Till Dawn (1996)
71,113010,11859.0,Fair Game (1995)
72,113537,28387.0,Kicking and Screaming (1995)
73,113828,48750.0,"Misérables, Les (1995)"
74,115644,20927.0,Bed of Roses (1996)
75,115676,36929.0,Big Bully (1996)
76,114367,9102.0,Screamers (1995)
77,113973,124626.0,Nico Icon (1995)
78,112744,27526.0,"Crossing Guard, The (1995)"
79,116731,9623.0,"Juror, The (1996)"
80,112445,46785.0,"White Balloon, The (Badkonake sefid) (1995)"
81,114660,400.0,Things to Do in Denver When You're Dead (1995)
82,112379,880.0,Antonia's Line (Antonia) (1995)
83,114039,146599.0,Once Upon a Time... When We Were Colored (1995)
84,113612,188588.0,Last Summer in the Hamptons (1995)
85,112365,8447.0,Angels and Insects (1995)
86,118158,10534.0,White Squall (1996)
87,116151,17414.0,Dunston Checks In (1996)
88,115697,13997.0,Black Sheep (1996)
89,113972,2086.0,Nick of Time (1995)
90,113490,61548.0,The Journey of August King (1995)
92,117002,9095.0,Mary Reilly (1996)
93,114825,12158.0,Vampire in Brooklyn (1995)
94,115639,9283.0,Beautiful Girls (1996)
95,115759,9208.0,Broken Arrow (1996)
96,113403,40154.0,In the Bleak Midwinter (1995)
97,113247,406.0,"Hate (Haine, La) (1995)"
98,111173,45549.0,Shopping (1994)
99,113283,63076.0,Heidi Fleiss: Hollywood Madam (1995)
100,115907,11062.0,City Hall (1996)
101,115734,13685.0,Bottle Rocket (1996)
102,117102,47475.0,Mr. Wrong (1996)
103,118040,2045.0,Unforgettable (1996)
104,116483,9614.0,Happy Gilmore (1996)
105,112579,688.0,"Bridges of Madison County, The (1995)"
106,110251,11907.0,Nobody Loves Me (Keiner liebt mich) (1994)
107,117110,10874.0,Muppet Treasure Island (1996)
108,112646,89333.0,Catwalk (1996)
109,113276,96357.0,Headless Body in Topless Bar (1995)
110,112573,197.0,Braveheart (1995)
111,75314,103.0,Taxi Driver (1976)
112,113326,33542.0,Rumble in the Bronx (Hont faan kui) (1995)
113,115645,43566.0,Before and After (1996)
114,113774,71754.0,Margaret's Museum (1995)
115,112556,43612.0,"Happiness Is in the Field (Bonheur est dans le pré, Le) (1995)"
116,112373,51352.0,Anne Frank Remembered (1995)
117,115033,16934.0,"Young Poisoner's Handbook, The (1995)"
118,116606,10324.0,If Lucy Fell (1996)
119,114536,78406.0,"Steal Big, Steal Little (1995)"
120,117427,55731.0,Race the Sun (1996)
121,106473,32119.0,"Boys of St. Vincent, The (1992)"
122,103859,11066.0,Boomerang (1992)
